"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상"
"전국  (0000000000)","51,696,216","51,696,216","4,566,168","5,481,038","6,758,428","7,534,140","8,797,053","8,424,661","5,376,421","3,239,119","1,325,294","176,332","17,562","25,827,594","25,827,594","2,345,162","2,852,009","3,560,115","3,852,019","4,460,821","4,260,102","2,612,977","1,407,287","432,612","40,353","4,137","25,868,622","25,868,622","2,221,006","2,629,029","3,198,313","3,682,121","4,336,232","4,164,559","2,763,444","1,831,832","892,682","135,979","13,425","51,778,544","51,778,544","4,435,198","5,304,425","6,810,967","7,368,649","8,702,752","8,490,204","5,657,264","3,379,106","1,419,599","192,530","17,850","25,855,919","25,855,919","2,277,849","2,757,691","3,587,959","3,772,868","4,416,852","4,281,397","2,758,597","1,482,178","473,039","43,465","4,024","25,922,625","25,922,625","2,157,349","2,546,734","3,223,008","3,595,781","4,285,900","4,208,807","2,898,667","1,896,928","946,560","149,065","13,826","51,826,059","51,826,059","4,303,062","5,131,153","6,823,973","7,270,143","8,488,587","8,615,884","5,949,639","3,497,936","1,516,992","209,907","18,783","25,866,129","25,866,129","2,208,857","2,662,198","3,591,833","3,723,573","4,316,614","4,339,203","2,907,138","1,549,636","515,449","47,301","4,327","25,959,930","25,959,930","2,094,205","2,468,955","3,232,140","3,546,570","4,171,973","4,276,681","3,042,501","1,948,300","1,001,543","162,606","14,456","51,849,861","51,849,861","4,166,914","4,959,010","6,810,356","7,071,024","8,383,230","8,667,377","6,310,651","3,596,044","1,633,336","231,759","20,160","25,864,816","25,864,816","2,138,215","2,568,963","3,582,927","3,631,290","4,260,978","4,366,687","3,085,712","1,607,050","565,417","52,747","4,830","25,985,045","25,985,045","2,028,699","2,390,047","3,227,429","3,439,734","4,122,252","4,300,690","3,224,939","1,988,994","1,067,919","179,012","15,330","51,829,023","51,829,023","3,970,070","4,793,336","6,806,153","6,873,117","8,294,787","8,645,014","6,744,506","3,698,246","1,729,422","252,460","21,912","25,841,029","25,841,029","2,035,712","2,478,773","3,573,667","3,541,548","4,214,971","4,362,544","3,298,604","1,664,340","608,461","57,058","5,351","25,987,994","25,987,994","1,934,358","2,314,563","3,232,486","3,331,569","4,079,816","4,282,470","3,445,902","2,033,906","1,120,961","195,402","16,561","51,638,809","51,638,809","3,760,350","4,709,316","6,655,923","6,723,435","8,166,792","8,635,211","7,164,712","3,715,084","1,835,481","264,544","7,961","25,746,684","25,746,684","1,927,798","2,431,349","3,491,682","3,472,711","4,150,248","4,366,299","3,508,745","1,683,401","654,228","58,851","1,372","25,892,125","25,892,125","1,832,552","2,277,967","3,164,241","3,250,724","4,016,544","4,268,912","3,655,967","2,031,683","1,181,253","205,693","6,589"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262"
"부산광역시  (2600000000)","3,498,529","3,498,529","267,087","325,210","455,199","483,516","558,328","610,400","454,451","246,583","85,833","10,337","1,585","1,725,607","1,725,607","137,211","170,051","240,023","247,173","277,750","296,187","217,159","109,498","27,973","2,242","340","1,772,922","1,772,922","129,876","155,159","215,176","236,343","280,578","314,213","237,292","137,085","57,860","8,095","1,245","3,470,653","3,470,653","258,732","310,044","451,791","467,624","545,052","599,544","472,617","259,903","92,153","11,579","1,614","1,709,508","1,709,508","132,924","161,776","237,994","239,058","272,484","290,091","225,566","115,940","30,902","2,446","327","1,761,145","1,761,145","125,808","148,268","213,797","228,566","272,568","309,453","247,051","143,963","61,251","9,133","1,287","3,441,453","3,441,453","251,442","296,145","444,737","454,711","527,047","593,189","488,127","272,992","98,675","12,723","1,665","1,692,421","1,692,421","129,189","153,988","233,755","232,045","264,732","286,694","232,593","122,330","34,037","2,709","349","1,749,032","1,749,032","122,253","142,157","210,982","222,666","262,315","306,495","255,534","150,662","64,638","10,014","1,316","3,413,841","3,413,841","243,321","283,240","436,149","435,710","517,782","583,099","507,247","284,110","107,326","14,067","1,790","1,675,417","1,675,417","124,927","146,787","228,729","222,456","260,329","282,121","241,026","127,675","37,883","3,095","389","1,738,424","1,738,424","118,394","136,453","207,420","213,254","257,453","300,978","266,221","156,435","69,443","10,972","1,401","3,391,946","3,391,946","232,356","272,014","430,987","419,014","511,148","568,913","531,620","293,299","115,680","15,028","1,887","1,661,000","1,661,000","119,173","140,558","224,517","214,297","257,288","276,068","251,584","132,206","41,604","3,285","420","1,730,946","1,730,946","113,183","131,456","206,470","204,717","253,860","292,845","280,036","161,093","74,076","11,743","1,467","3,350,380","3,350,380","219,611","266,105","415,549","405,300","502,391","554,768","548,878","298,128","123,791","15,457","402","1,639,044","1,639,044","112,744","137,079","215,370","207,947","253,509","270,303","258,914","134,692","45,094","3,330","62","1,711,336","1,711,336","106,867","129,026","200,179","197,353","248,882","284,465","289,964","163,436","78,697","12,127","340"
"대구광역시  (2700000000)","2,484,557","2,484,557","207,036","274,127","329,927","333,768","431,822","422,215","270,182","150,535","57,934","6,420","591","1,234,169","1,234,169","106,297","145,053","180,511","168,980","212,242","208,457","128,112","63,920","19,088","1,374","135","1,250,388","1,250,388","100,739","129,074","149,416","164,788","219,580","213,758","142,070","86,615","38,846","5,046","456","2,475,231","2,475,231","201,043","261,756","332,212","324,015","421,146","424,677","282,918","157,294","62,457","7,098","615","1,227,814","1,227,814","103,263","138,062","180,803","165,043","207,430","208,665","134,676","67,223","20,941","1,571","137","1,247,417","1,247,417","97,780","123,694","151,409","158,972","213,716","216,012","148,242","90,071","41,516","5,527","478","2,461,769","2,461,769","194,953","249,672","330,845","317,978","404,270","431,143","292,750","164,586","67,069","7,875","628","1,219,342","1,219,342","99,981","131,186","179,001","162,884","199,424","211,453","139,864","70,859","22,807","1,738","145","1,242,427","1,242,427","94,972","118,486","151,844","155,094","204,846","219,690","152,886","93,727","44,262","6,137","483","2,438,031","2,438,031","188,312","237,198","323,641","305,986","393,387","428,249","308,797","170,112","73,058","8,613","678","1,205,286","1,205,286","96,593","124,289","174,194","157,920","194,076","209,676","147,322","73,829","25,304","1,925","158","1,232,745","1,232,745","91,719","112,909","149,447","148,066","199,311","218,573","161,475","96,283","47,754","6,688","520","2,418,346","2,418,346","178,226","225,898","321,534","294,310","383,839","425,479","325,957","175,276","77,665","9,429","733","1,193,109","1,193,109","91,285","118,103","171,675","153,070","189,358","208,340","155,170","76,599","27,260","2,073","176","1,225,237","1,225,237","86,941","107,795","149,859","141,240","194,481","217,139","170,787","98,677","50,405","7,356","557","2,385,412","2,385,412","167,823","218,537","308,921","284,865","372,555","419,444","342,291","177,828","82,781","10,122","245","1,175,632","1,175,632","85,980","113,890","164,484","149,452","183,962","205,369","162,849","78,079","29,339","2,197","31","1,209,780","1,209,780","81,843","104,647","144,437","135,413","188,593","214,075","179,442","99,749","53,442","7,925","214"
"인천광역시  (2800000000)","2,943,069","2,943,069","269,510","311,493","406,622","450,143","512,174","502,587","274,298","147,609","59,356","8,523","754","1,477,671","1,477,671","138,170","160,974","211,969","231,409","259,039","254,812","135,832","64,458","18,830","1,981","197","1,465,398","1,465,398","131,340","150,519","194,653","218,734","253,135","247,775","138,466","83,151","40,526","6,542","557","2,948,542","2,948,542","259,925","301,563","409,811","439,665","506,584","507,101","293,572","156,769","63,429","9,332","791","1,479,597","1,479,597","133,221","155,803","213,945","226,364","256,938","255,674","145,663","69,162","20,515","2,120","192","1,468,945","1,468,945","126,704","145,760","195,866","213,301","249,646","251,427","147,909","87,607","42,914","7,212","599","2,954,642","2,954,642","251,301","292,324","409,794","433,669","494,723","514,229","315,032","164,392","68,151","10,201","826","1,481,844","1,481,844","128,889","150,678","214,091","223,441","251,781","258,066","156,382","73,470","22,521","2,329","196","1,472,798","1,472,798","122,412","141,646","195,703","210,228","242,942","256,163","158,650","90,922","45,630","7,872","630","2,957,026","2,957,026","242,400","283,251","407,608","421,189","489,961","516,594","339,270","171,138","73,339","11,393","883","1,482,249","1,482,249","124,383","145,798","213,116","217,146","250,143","258,399","168,422","77,256","24,807","2,548","231","1,474,777","1,474,777","118,017","137,453","194,492","204,043","239,818","258,195","170,848","93,882","48,532","8,845","652","2,942,828","2,942,828","228,634","274,162","401,546","406,146","483,977","512,167","367,879","177,503","77,504","12,341","969","1,473,943","1,473,943","117,356","141,025","209,363","210,025","247,402","256,037","182,261","80,868","26,682","2,665","259","1,468,885","1,468,885","111,278","133,137","192,183","196,121","236,575","256,130","185,618","96,635","50,822","9,676","710","2,948,375","2,948,375","217,384","271,131","391,051","402,091","481,066","510,969","399,128","179,244","82,853","13,041","417","1,476,373","1,476,373","111,554","139,390","203,834","208,279","246,522","255,130","197,657","82,211","28,963","2,749","84","1,472,002","1,472,002","105,830","131,741","187,217","193,812","234,544","255,839","201,471","97,033","53,890","10,292","333"
"광주광역시  (2900000000)","1,469,214","1,469,214","140,957","187,604","201,402","213,395","255,953","222,914","132,868","79,294","30,370","4,102","355","728,137","728,137","72,616","97,444","105,349","107,247","127,153","110,127","63,057","34,528","9,767","810","39","741,077","741,077","68,341","90,160","96,053","106,148","128,800","112,787","69,811","44,766","20,603","3,292","316","1,463,770","1,463,770","135,873","179,807","203,610","205,522","253,204","225,935","138,675","83,744","32,556","4,499","345","725,295","725,295","69,981","93,536","106,689","103,442","125,703","111,569","66,055","36,676","10,704","902","38","738,475","738,475","65,892","86,271","96,921","102,080","127,501","114,366","72,620","47,068","21,852","3,597","307","1,459,336","1,459,336","131,277","171,887","205,743","200,420","246,391","231,284","145,281","87,000","34,920","4,762","371","722,581","722,581","67,673","89,182","107,730","101,066","122,452","114,276","69,143","38,267","11,778","973","41","736,755","736,755","63,604","82,705","98,013","99,354","123,939","117,008","76,138","48,733","23,142","3,789","330","1,456,468","1,456,468","126,519","164,431","207,448","192,943","244,566","233,280","153,369","90,695","37,474","5,344","399","720,740","720,740","65,084","85,378","108,393","97,812","121,383","115,453","73,079","39,981","12,971","1,157","49","735,728","735,728","61,435","79,053","99,055","95,131","123,183","117,827","80,290","50,714","24,503","4,187","350","1,450,062","1,450,062","119,692","157,144","209,375","185,867","240,867","233,822","163,784","93,541","39,671","5,875","424","717,348","717,348","61,487","81,458","109,335","94,869","119,545","115,860","78,051","41,434","13,995","1,259","55","732,714","732,714","58,205","75,686","100,040","90,998","121,322","117,962","85,733","52,107","25,676","4,616","369","1,441,611","1,441,611","114,065","152,404","206,472","181,189","236,167","235,764","172,124","94,547","42,636","6,066","177","713,015","713,015","58,516","78,857","107,781","92,783","117,383","116,983","82,025","42,016","15,333","1,316","22","728,596","728,596","55,549","73,547","98,691","88,406","118,784","118,781","90,099","52,531","27,303","4,750","155"
"대전광역시  (3000000000)","1,514,370","1,514,370","142,076","175,916","212,796","222,879","264,265","239,111","143,650","77,775","31,484","4,110","308","757,289","757,289","73,144","91,522","112,845","113,005","131,447","119,466","70,251","34,243","10,311","982","73","757,081","757,081","68,932","84,394","99,951","109,874","132,818","119,645","73,399","43,532","21,173","3,128","235","1,502,227","1,502,227","135,218","168,005","213,973","215,284","258,705","239,297","152,044","81,244","33,602","4,541","314","750,969","750,969","69,670","87,333","113,198","109,794","128,829","119,045","74,426","36,114","11,398","1,083","79","751,258","751,258","65,548","80,672","100,775","105,490","129,876","120,252","77,618","45,130","22,204","3,458","235","1,489,936","1,489,936","128,497","160,537","213,955","209,040","249,652","242,983","159,155","84,756","36,054","4,988","319","744,338","744,338","66,139","83,378","112,938","107,185","124,552","120,596","77,828","37,954","12,507","1,188","73","745,598","745,598","62,358","77,159","101,017","101,855","125,100","122,387","81,327","46,802","23,547","3,800","246","1,474,870","1,474,870","121,829","153,179","212,629","200,480","242,481","243,869","168,307","87,513","38,853","5,397","333","736,607","736,607","62,600","79,438","112,059","103,621","121,088","121,187","82,057","39,482","13,756","1,238","81","738,263","738,263","59,229","73,741","100,570","96,859","121,393","122,682","86,250","48,031","25,097","4,159","252","1,463,882","1,463,882","114,529","146,436","212,488","194,088","237,216","241,921","179,153","91,320","40,519","5,841","371","730,699","730,699","58,822","75,777","111,421","101,293","118,238","120,638","87,060","41,509","14,485","1,367","89","733,183","733,183","55,707","70,659","101,067","92,795","118,978","121,283","92,093","49,811","26,034","4,474","282","1,452,251","1,452,251","107,548","142,175","209,397","189,669","231,018","240,017","190,514","92,390","43,199","6,155","169","724,626","724,626","55,295","73,527","109,664","99,378","115,072","119,967","92,406","42,139","15,747","1,405","26","727,625","727,625","52,253","68,648","99,733","90,291","115,946","120,050","98,108","50,251","27,452","4,750","143"
"울산광역시  (3100000000)","1,172,304","1,172,304","115,921","132,712","158,704","177,144","206,835","205,095","108,980","47,361","17,214","2,200","138","603,797","603,797","59,830","70,341","89,203","92,915","103,270","106,288","55,466","21,133","4,969","354","28","568,507","568,507","56,091","62,371","69,501","84,229","103,565","98,807","53,514","26,228","12,245","1,846","110","1,165,132","1,165,132","112,441","126,894","156,966","171,065","201,695","207,642","116,984","50,444","18,430","2,418","153","599,480","599,480","58,121","67,173","87,948","89,790","101,208","107,075","59,321","22,967","5,475","374","28","565,652","565,652","54,320","59,721","69,018","81,275","100,487","100,567","57,663","27,477","12,955","2,044","125","1,155,623","1,155,623","108,363","121,540","153,359","166,208","194,425","210,492","124,918","53,882","19,654","2,624","158","593,819","593,819","55,907","64,182","85,599","87,270","98,205","107,974","63,245","24,983","6,011","411","32","561,804","561,804","52,456","57,358","67,760","78,938","96,220","102,518","61,673","28,899","13,643","2,213","126","1,148,019","1,148,019","104,371","116,733","149,137","159,743","190,771","211,359","134,651","56,946","21,222","2,928","158","589,712","589,712","53,757","61,537","83,553","84,210","96,712","107,891","68,074","26,701","6,780","466","31","558,307","558,307","50,614","55,196","65,584","75,533","94,059","103,468","66,577","30,245","14,442","2,462","127","1,136,017","1,136,017","98,506","112,420","144,569","151,705","187,808","209,521","145,347","60,168","22,712","3,086","175","583,708","583,708","50,619","59,174","81,200","80,565","95,644","106,610","73,250","28,575","7,503","533","35","552,309","552,309","47,887","53,246","63,369","71,140","92,164","102,911","72,097","31,593","15,209","2,553","140","1,121,592","1,121,592","92,018","109,990","137,422","144,891","183,954","207,056","155,775","63,024","24,119","3,276","67","576,217","576,217","47,302","57,743","77,588","77,145","94,084","105,062","78,393","30,110","8,218","568","4","545,375","545,375","44,716","52,247","59,834","67,746","89,870","101,994","77,382","32,914","15,901","2,708","63"
"세종특별자치시  (3600000000)","243,048","243,048","34,911","27,125","26,523","45,951","44,188","29,440","18,159","10,793","5,219","690","49","121,505","121,505","17,731","13,754","13,425","22,401","23,531","15,302","8,898","4,642","1,674","139","8","121,543","121,543","17,180","13,371","13,098","23,550","20,657","14,138","9,261","6,151","3,545","551","41","280,100","280,100","40,172","32,063","30,266","52,407","52,120","33,671","21,100","11,710","5,768","774","49","139,734","139,734","20,501","16,164","15,316","25,381","27,438","17,394","10,392","5,104","1,873","165","6","140,366","140,366","19,671","15,899","14,950","27,026","24,682","16,277","10,708","6,606","3,895","609","43","314,126","314,126","44,452","36,695","34,031","58,381","58,247","38,373","24,261","12,533","6,208","891","54","156,831","156,831","22,778","18,397","17,283","28,358","30,385","19,838","11,948","5,603","2,030","204","7","157,295","157,295","21,674","18,298","16,748","30,023","27,862","18,535","12,313","6,930","4,178","687","47","340,575","340,575","47,249","40,037","36,340","61,464","64,472","42,480","27,208","13,445","6,764","1,063","53","169,845","169,845","24,152","20,094","18,357","29,984","33,224","21,980","13,479","6,078","2,249","239","9","170,730","170,730","23,097","19,943","17,983","31,480","31,248","20,500","13,729","7,367","4,515","824","44","355,831","355,831","47,283","42,677","37,453","61,492","68,831","45,205","30,139","14,392","7,109","1,200","50","177,568","177,568","24,188","21,419","19,050","30,004","35,188","23,494","14,935","6,602","2,415","263","10","178,263","178,263","23,095","21,258","18,403","31,488","33,643","21,711","15,204","7,790","4,694","937","40","371,895","371,895","47,063","45,794","38,510","61,719","72,764","48,876","33,522","14,775","7,557","1,288","27","185,678","185,678","23,984","23,081","19,728","30,131","36,831","25,581","16,596","6,870","2,606","263","7","186,217","186,217","23,079","22,713","18,782","31,588","35,933","23,295","16,926","7,905","4,951","1,025","20"
"경기도  (4100000000)","12,716,780","12,716,780","1,251,110","1,439,515","1,687,250","1,955,946","2,312,530","2,025,958","1,110,220","640,149","255,340","35,457","3,305","6,395,453","6,395,453","641,534","744,447","881,412","994,253","1,169,765","1,041,164","545,447","281,482","86,322","8,751","876","6,321,327","6,321,327","609,576","695,068","805,838","961,693","1,142,765","984,794","564,773","358,667","169,018","26,706","2,429","12,873,895","12,873,895","1,226,500","1,410,636","1,721,524","1,934,989","2,313,960","2,077,756","1,192,377","677,314","276,699","38,771","3,369","6,475,323","6,475,323","629,189","728,790","901,746","986,741","1,171,811","1,062,080","588,623","300,552","95,624","9,338","829","6,398,572","6,398,572","597,311","681,846","819,778","948,248","1,142,149","1,015,676","603,754","376,762","181,075","29,433","2,540","13,077,153","13,077,153","1,209,856","1,384,896","1,749,054","1,949,571","2,291,231","2,145,977","1,289,902","710,464","299,824","42,776","3,602","6,577,501","6,577,501","620,423","714,370","917,804","996,212","1,163,422","1,091,730","638,843","318,110","105,476","10,199","912","6,499,652","6,499,652","589,433","670,526","831,250","953,359","1,127,809","1,054,247","651,059","392,354","194,348","32,577","2,690","13,239,666","13,239,666","1,184,990","1,355,462","1,770,695","1,925,827","2,290,198","2,198,828","1,399,372","737,272","325,340","47,768","3,914","6,659,995","6,659,995","607,414","698,188","931,439","988,359","1,163,371","1,115,137","694,626","332,647","116,360","11,422","1,032","6,579,671","6,579,671","577,576","657,274","839,256","937,468","1,126,827","1,083,691","704,746","404,625","208,980","36,346","2,882","13,427,014","13,427,014","1,145,984","1,328,214","1,807,848","1,907,459","2,299,423","2,234,920","1,532,434","765,815","348,213","52,389","4,315","6,754,469","6,754,469","586,787","682,846","951,737","982,843","1,168,836","1,132,305","761,522","347,382","126,549","12,505","1,157","6,672,545","6,672,545","559,197","645,368","856,111","924,616","1,130,587","1,102,615","770,912","418,433","221,664","39,884","3,158","13,565,450","13,565,450","1,099,927","1,321,005","1,798,269","1,900,447","2,296,173","2,274,844","1,669,601","773,573","374,488","55,363","1,760","6,827,298","6,827,298","562,739","678,063","947,823","983,619","1,168,232","1,152,627","830,282","352,810","137,676","13,079","348","6,738,152","6,738,152","537,188","642,942","850,446","916,828","1,127,941","1,122,217","839,319","420,763","236,812","42,284","1,412"
